Initize,Range,Exp,Avgpre,Avgpost
100,200,1000000,8.606061,9.918919
100,400,1000000,9.771429,8.806452
200,400,1000000,9.968254,10.134328
300,400,1000000,10.672897,11.245098
100,800,1000000,8.612903,10.108108
200,800,1000000,10.134328,10.068493
300,800,1000000,10.588235,11.490385
400,800,1000000,11.623077,12.425373
500,800,1000000,11.602339,13.164706
600,800,1000000,14.955224,14.807882
700,800,1000000,12.7,13.770563
100,1600,1000000,8.25,13
200,1600,1000000,10.507692,13.666667
300,1600,1000000,10.065421,12.5
400,1600,1000000,11.478571,12.76087
500,1600,1000000,11.369942,16.181818
600,1600,1000000,11.884058,18
700,1600,1000000,13.459574,16.306034
800,1600,1000000,11.894737,16.544484
900,1600,1000000,13.191419,16.170569
1000,1600,1000000,13.341246,16.635015
1100,1600,1000000,13.425134,16.688172
1200,1600,1000000,13.615385,15.985112
1300,1600,1000000,15.146172,18.089655
1400,1600,1000000,13.200426,16.109015
1500,1600,1000000,13.609312,15.66
100,3200,1000000,7.735294,9.176471
200,3200,1000000,10.692308,11.32
300,3200,1000000,10.959184,11.76699
400,3200,1000000,11.459854,12.074324
500,3200,1000000,11.369697,14.483146
600,3200,1000000,13.143564,12.565421
700,3200,1000000,12.627119,13.91498
800,3200,1000000,12.363971,12.407801
900,3200,1000000,13.127451,14.136076
1000,3200,1000000,13.640483,13.036827
1100,3200,1000000,13.921833,14.210797
1200,3200,1000000,12.810945,14.35468
1300,3200,1000000,14.011655,14.631818
1400,3200,1000000,13.582627,14.328326
1500,3200,1000000,14.440083,14.009766
1600,3200,1000000,13.738404,16.054745
1700,3200,1000000,13.514783,14.389171
1800,3200,1000000,15.634868,14.292282
1900,3200,1000000,15.201849,15.213953
2000,3200,1000000,15.99851,15.325444
2100,3200,1000000,14.424242,14.364641
2200,3200,1000000,14.406208,15.42
2300,3200,1000000,14.795892,14.507557
2400,3200,1000000,14.638994,15.035539
2500,3200,1000000,14.381579,15.576832
2600,3200,1000000,16.279545,15.874429
2700,3200,1000000,15.011111,15.595291
2800,3200,1000000,15.119048,14.572816
2900,3200,1000000,15.027027,16.260246
3000,3200,1000000,17.81809,15.153314
3100,3200,1000000,15.43038,16.000956
100,6400,1000000,8.540541,8.702703
200,6400,1000000,10.057971,9.805556
300,6400,1000000,11.134615,10.309735
400,6400,1000000,12,10.524823
500,6400,1000000,12.300613,11.715084
600,6400,1000000,12.768844,12.161905
700,6400,1000000,13.026316,13.334694
800,6400,1000000,12.469466,11.508591
900,6400,1000000,12.342193,12.040123
1000,6400,1000000,12.702703,12.450867
1100,6400,1000000,12.973118,12.265823
1200,6400,1000000,13.479012,12.522459
1300,6400,1000000,13.949425,12.717573
1400,6400,1000000,16.246696,15.094456
1500,6400,1000000,13.516634,12.455744
1600,6400,1000000,13.613027,13.069395
1700,6400,1000000,14.474606,13.484536
1800,6400,1000000,13.934564,12.92638
1900,6400,1000000,14.178683,13.50366
2000,6400,1000000,13.963181,13.185714
2100,6400,1000000,14.218794,13.358768
2200,6400,1000000,14.850746,13.654145
2300,6400,1000000,15.318003,15.111111
2400,6400,1000000,15.906566,14.986967
2500,6400,1000000,14.847437,13.672769
2600,6400,1000000,14.928409,13.715078
2700,6400,1000000,15.760312,15.174342
2800,6400,1000000,15.629274,14.754315
2900,6400,1000000,14.380503,13.74364
3000,6400,1000000,15.194252,14.55773
3100,6400,1000000,14.61165,13.952875
3200,6400,1000000,15.507477,13.990851
3300,6400,1000000,15.065217,14.269027
3400,6400,1000000,14.836268,13.89205
3500,6400,1000000,15.115681,14.261298
3600,6400,1000000,15.845771,15.027955
3700,6400,1000000,15.134196,14.65012
3800,6400,1000000,16.369207,14.875873
3900,6400,1000000,15.19177,14.268825
4000,6400,1000000,16.224383,15.173402
4100,6400,1000000,15.827636,14.816952
4200,6400,1000000,15.606838,14.566104
4300,6400,1000000,17.558702,15.956164
4400,6400,1000000,16.232011,14.59906
4500,6400,1000000,15.954008,14.627997
4600,6400,1000000,16.882843,15.494513
4700,6400,1000000,16.446497,15.067001
4800,6400,1000000,18.249687,16.729746
4900,6400,1000000,16.636199,15.617506
5000,6400,1000000,15.976492,15.130952
5100,6400,1000000,16.508102,15.159838
5200,6400,1000000,16.287048,15.01694
5300,6400,1000000,16.346523,14.997725
5400,6400,1000000,17.007194,15.579639
5500,6400,1000000,16.146789,14.750269
5600,6400,1000000,16.161117,15.403088
5700,6400,1000000,16.645556,15.268834
5800,6400,1000000,16.998967,15.827691
5900,6400,1000000,18.309247,15.578014
6000,6400,1000000,16.066434,15.074951
6100,6400,1000000,16.214848,15.053145
6200,6400,1000000,16.66634,14.907133
6300,6400,1000000,16.990913,15.75175
100,12800,1000000,10.484848,10.323529
200,12800,1000000,9.634921,9.428571
300,12800,1000000,10.359223,10.640777
400,12800,1000000,11.619403,11.72028
500,12800,1000000,11.819277,11.662857
600,12800,1000000,13.211823,12.661972
700,12800,1000000,12.144068,11.620968
800,12800,1000000,12.014925,11.722222
900,12800,1000000,12.496644,12.215625
1000,12800,1000000,12.667647,12.008333
1100,12800,1000000,13.581006,13.136816
1200,12800,1000000,14.134804,13.511792
1300,12800,1000000,13.701878,13.240781
1400,12800,1000000,13.704497,12.981818
1500,12800,1000000,14.459184,13.540892
1600,12800,1000000,14.456881,13.84507
1700,12800,1000000,13.786078,13.559871
1800,12800,1000000,13.839669,13.427245
1900,12800,1000000,16.364615,14.849926
2000,12800,1000000,15.209985,14.529915
2100,12800,1000000,14.035562,13.373656
2200,12800,1000000,16.562759,15.852865
2300,12800,1000000,15.053385,14.276202
2400,12800,1000000,14.769521,14.431629
2500,12800,1000000,14.841155,13.674082
2600,12800,1000000,14.483616,13.89693
2700,12800,1000000,15.236324,14.165263
2800,12800,1000000,14.766454,13.888777
2900,12800,1000000,15.337539,14.502444
3000,12800,1000000,15.256436,14.263256
3100,12800,1000000,15.584158,14.535942
3200,12800,1000000,15.240376,14.246516
3300,12800,1000000,15.290645,14.223097
3400,12800,1000000,14.736564,13.611249
3500,12800,1000000,16.090832,14.979116
3600,12800,1000000,16.777778,16
3700,12800,1000000,15.898305,14.842308
3800,12800,1000000,16.222839,15.133235
3900,12800,1000000,16.40937,15.661054
4000,12800,1000000,15.975739,15.125526
4100,12800,1000000,16.192727,15.163561
4200,12800,1000000,16.296742,15.374237
4300,12800,1000000,15.921951,15.083836
4400,12800,1000000,16.228493,15.257665
4500,12800,1000000,15.373342,14.659425
4600,12800,1000000,16.2148,15.018012
4700,12800,1000000,15.648736,14.78253
4800,12800,1000000,17.061605,15.894985
4900,12800,1000000,16.348837,15.290398
5000,12800,1000000,16.121101,14.619355
5100,12800,1000000,16.818505,15.77412
5200,12800,1000000,17.539692,16.534934
5300,12800,1000000,17.931193,16.615676
5400,12800,1000000,17.368911,16.207676
5500,12800,1000000,16.371696,15.341502
5600,12800,1000000,15.728932,14.708139
5700,12800,1000000,16.325654,15.433686
5800,12800,1000000,17.250768,16.0235
5900,12800,1000000,16.542347,15.657627
6000,12800,1000000,17.481982,16.398068
6100,12800,1000000,17.168342,15.998565
6200,12800,1000000,17.240114,16.322233
6300,12800,1000000,17.022296,15.050639
6400,12800,1000000,17.694628,16.320797
6500,12800,1000000,16.442962,15.339142
6600,12800,1000000,15.912807,14.865848
6700,12800,1000000,15.847091,14.93071
6800,12800,1000000,16.290394,15.482509
6900,12800,1000000,17.549096,16.19268
7000,12800,1000000,18.140051,17.055008
7100,12800,1000000,17.258868,16.03134
7200,12800,1000000,18.033054,16.459992
7300,12800,1000000,16.649798,15.448759
7400,12800,1000000,17.378824,15.47447
7500,12800,1000000,16.651023,15.742188
7600,12800,1000000,17.586276,15.620902
7700,12800,1000000,17.964216,16.431087
7800,12800,1000000,17.484174,16.233898
7900,12800,1000000,17.376628,16.403118
8000,12800,1000000,17.220677,16.041589
8100,12800,1000000,17.062155,15.884022
8200,12800,1000000,17.439273,15.493175
8300,12800,1000000,17.646763,16.632807
8400,12800,1000000,18.140065,17.029909
8500,12800,1000000,18.907941,17.658069
8600,12800,1000000,17.414011,16.186858
8700,12800,1000000,18.069249,16.838623
8800,12800,1000000,18.067721,16.623914
8900,12800,1000000,18.599391,17.564612
9000,12800,1000000,17.515804,16.410526
9100,12800,1000000,18.695279,16.85872
9200,12800,1000000,17.545188,16.339234
9300,12800,1000000,18.781371,17.697285
9400,12800,1000000,18.29691,16.480781
9500,12800,1000000,17.562009,16.494688
9600,12800,1000000,17.467849,16.392989
9700,12800,1000000,17.689218,16.352352
9800,12800,1000000,17.388634,16.098193
9900,12800,1000000,17.1704,16.127883
10000,12800,1000000,17.420974,16.10637
10100,12800,1000000,19.152387,17.090432
10200,12800,1000000,18.760377,17.719719
10300,12800,1000000,16.761281,15.830475
10400,12800,1000000,18.77666,17.462132
10500,12800,1000000,20.094215,18.901575
10600,12800,1000000,17.941877,16.488671
10700,12800,1000000,18.372743,17.212677
10800,12800,1000000,18.561876,17.240308
10900,12800,1000000,18.543942,17.073417
11000,12800,1000000,17.895462,16.566376
11100,12800,1000000,18.515184,16.703433
11200,12800,1000000,18.122726,16.667021
11300,12800,1000000,19.280875,17.700689
11400,12800,1000000,18.390584,17.291569
11500,12800,1000000,18.026957,16.77227
11600,12800,1000000,17.945856,16.688838
11700,12800,1000000,18.440082,17.099975
11800,12800,1000000,18.441926,16.866466
11900,12800,1000000,19.753748,17.721624
12000,12800,1000000,18.236495,17.188595
12100,12800,1000000,18.099323,16.802723
12200,12800,1000000,17.254379,16.249211
12300,12800,1000000,17.238878,16.196107
12400,12800,1000000,19.686834,17.641564
12500,12800,1000000,19.299808,17.317593
12600,12800,1000000,18.196213,16.894192
12700,12800,1000000,18.224437,16.884444